id,zh,en,url,note
Metadata/Items/Gems/SupportGemMagnifiedEffectTwo,范围扩大 II,Magnified Area II,https://poe2db.tw/cn/Magnified_Area_II,
Metadata/Items/Gems/SupportGemMaim,瘫痪,Maim,https://poe2db.tw/cn/Maim,
Metadata/Items/Gems/SupportGemMarkOfSiphoningTwo,虹吸印记 II,Mark of Siphoning II,https://poe2db.tw/cn/Mark_of_Siphoning_II,0.5.0后的条目按对被印记目标造成的物理攻击击中伤害偷取生命和魔力；不能按全部冰伤计算。
Metadata/Items/Gems/SupportGemMartialTempoThree,快速攻击 III,Rapid Attacks III,https://poe2db.tw/cn/Rapid_Attacks_III,
Metadata/Items/Gems/SupportGemMartialTempoTwo,快速攻击 II,Rapid Attacks II,https://poe2db.tw/cn/Rapid_Attacks_II,
Metadata/Items/Gems/SupportGemNovaProjectiles,新星投射物 I,Nova Projectiles I,https://poe2db.tw/cn/Nova_Projectiles_I,
Metadata/Items/Gems/SupportGemOverabundanceTwo,冗余 II,Overabundance II,https://poe2db.tw/cn/Overabundance_II,
Metadata/Items/Gems/SupportGemPerpetualCharge,永续充能,Perpetual Charge,https://poe2db.tw/cn/Perpetual_Charge,只影响能量球的消耗，不负责产球。弹幕本身不需要有球才产生基础重复。
Metadata/Items/Gems/SupportGemPersistenceTwo,持续时间延长 II,Prolonged Duration II,https://poe2db.tw/cn/Prolonged_Duration_II,
Metadata/Items/Gems/SupportGemPrimalArmamentTwo,元素军械 II,Elemental Armament II,https://poe2db.tw/cn/Elemental_Armament_II,保留 II；III 会改变元素异常能力。
Metadata/Items/Gems/SupportGemProfusionTwo,能量球激增 II,Charge Profusion II,https://poe2db.tw/cn/Charge_Profusion_II,
Metadata/Items/Gems/SupportGemWindowOfOpportunityTwo,大好时机 II,Window of Opportunity II,https://poe2db.tw/cn/Window_of_Opportunity_II,提高完美释放伤害但缩短完美释放窗口。
Metadata/Items/Gems/SupportOlrothsConviction,欧罗什的信念,Olroth's Conviction,https://poe2db.tw/cn/Olroths_Conviction,
